,User ID,State,County,Trump,Biden,Democratic,Republican,State Vote,County Vote,State Vote Change,County Vote Change,Label
197,1.21e+18,Florida,Polk,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
198,96012990.0,California,Los Angeles,Dislike,Dislike,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
199,64187434.0,Oklahoma,Tulsa,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
200,87637521.0,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
201,1.15e+18,Illinois,Montgomery,Dislike,Swing,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
202,34717273.0,California,San Francisco,Dislike,Non-mentioned,Like,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
203,1620621349.0,Texas,Austin,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
204,4856279897.0,Texas,Anderson,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
205,787352840.0,Kansas,Decatur,Dislike,Swing,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
206,59648062.0,California,Tulare,Dislike,Dislike,Non-mentioned,Non-mentioned,Blue,Red,Non-change,Non-change,Hate
207,23389277.0,Kansas,Decatur,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Red,Red,Non-change,Non-change,Hate
208,324803627.0,Washington,King,Dislike,Non-mentioned,Non-mentioned,Non-mentioned,Blue,Blue,Non-change,Non-change,Hate
209,14667128.0,Kansas,Decatur,Dislike,Swing,Non-mentioned,Dislike,Red,Red,Non-change,Non-change,Hate
